ItemId,Domain,Domain #,
49208,Athlete Testing and Evaluation,4,98
49220,Program Design and Development,2,99
49271,Athlete Testing and Evaluation,4,100
49514,Athlete Testing and Evaluation,4,101
49554,Athlete Education and Training,3,102
49262,Athlete Testing and Evaluation,4,103
49402,Assessment of Performance Needs,1,104
49188,Program Design and Development,2,105
49285,Program Design and Development,2,106
49556,Athlete Education and Training,3,107
49248,Athlete Education and Training,3,108
49463,Organizational and Administrative Responsibilities,5,109
49345,Assessment of Performance Needs,1,110
49419,Athlete Testing and Evaluation,4,111
49482,Organizational and Administrative Responsibilities,5,112
49393,Program Design and Development,2,113
49525,Athlete Testing and Evaluation,4,114
49552,Organizational and Administrative Responsibilities,5,115
49510,Program Design and Development,2,116
49430,Athlete Testing and Evaluation,4,117
49338,Program Design and Development,2,118
49357,Assessment of Performance Needs,1,119
49467,Organizational and Administrative Responsibilities,5,120
49476,Athlete Testing and Evaluation,4,121
49386,Assessment of Performance Needs,1,122
49575,Program Design and Development,2,123
49425,Program Design and Development,2,124
49428,Organizational and Administrative Responsibilities,5,125
49233,Program Design and Development,2,126
49362,Assessment of Performance Needs,1,127
49749,Organizational and Administrative Responsibilities,5,128
49397,Assessment of Performance Needs,1,129
49519,Assessment of Performance Needs,1,130
49474,Organizational and Administrative Responsibilities,5,131
49413,Assessment of Performance Needs,1,132
49407,Assessment of Performance Needs,1,133
49744,Athlete Testing and Evaluation,4,134
49564,Athlete Testing and Evaluation,4,135
49435,Athlete Education and Training,3,136
49506,Program Design and Development,2,137
49558,Athlete Education and Training,3,138
49500,Athlete Education and Training,3,139
49537,Program Design and Development,2,140
49561,Athlete Education and Training,3,141
49490,Organizational and Administrative Responsibilities,5,142
49543,Athlete Testing and Evaluation,4,143
49287,Program Design and Development,2,144
49293,Assessment of Performance Needs,1,145
49405,Assessment of Performance Needs,1,146
49416,Athlete Testing and Evaluation,4,147
49191,Assessment of Performance Needs,1,148
49505,Athlete Education and Training,3,149
49404,Program Design and Development,2,150
